candidate,seed,role,candidate_args_json,hypothesis,accuracy_baseline,accuracy_candidate,accuracy_delta,macro_f1_baseline,macro_f1_candidate,macro_f1_delta,ece_baseline,ece_candidate,ece_delta,vtvf_cross_errors_baseline,vtvf_cross_errors_candidate,vtvf_cross_errors_delta,total_errors_baseline,total_errors_candidate,total_errors_delta,error_migration_penalty_baseline,error_migration_penalty_candidate,error_migration_penalty_delta
boundary075,42,mechanism_verified_component,"{""boundary_ce_weight"": ""0.75""}",Boundary-risk component verified by the 33-run ablation; tests the lighter 0.75 dose before combining with representation constraints.,0.9298136645962732,0.9356107660455486,0.0057971014492753,0.7051596275666455,0.7181284099359059,0.0129687823692603,0.0443996333557626,0.049414887339432,0.0050152539836694,224.0,216.0,-8.0,339.0,311.0,-28.0,257.5,231.5,-26.0
proto_center_only,42,mechanism_verified_component,"{""prototype_center_weight"": ""0.02""}",Single-component mechanism verified by the 33-run ablation: prototype center compactness tests whether within-class embedding compactness drives the prototype benefit.,0.9298136645962732,0.943064182194617,0.0132505175983437,0.7051596275666455,0.7424850608887449,0.0373254333220993,0.0443996333557626,0.0325734237274521,-0.0118262096283104,224.0,200.0,-24.0,339.0,275.0,-64.0,257.5,214.0,-43.5
proto_margin_only,42,mechanism_verified_component,"{""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Single-component mechanism verified by the 33-run ablation: VT/VF prototype margin tests whether explicit class-center separation is sufficient on its own.,0.9298136645962732,0.9298136645962732,0.0,0.7051596275666455,0.7051596275666455,0.0,0.0443996333557626,0.0443996333557626,0.0,224.0,224.0,0.0,339.0,339.0,0.0,257.5,257.5,0.0
proto_center_margin,42,mechanism_verified_component,"{""prototype_center_weight"": ""0.02"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Prototype center plus VT/VF margin component model from the mechanism-targeted ablation.,0.9298136645962732,0.943064182194617,0.0132505175983437,0.7051596275666455,0.7424850608887449,0.0373254333220993,0.0443996333557626,0.0325734237274521,-0.0118262096283104,224.0,200.0,-24.0,339.0,275.0,-64.0,257.5,214.0,-43.5
boundary075_prototype,42,new_causal_pareto_recombination,"{""boundary_ce_weight"": ""0.75"", ""prototype_center_weight"": ""0.02"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Combine boundary weighting with prototype geometry using a slightly lighter boundary dose.,0.9298136645962732,0.9455486542443065,0.0157349896480332,0.7051596275666455,0.7521277250326525,0.0469680974660069,0.0443996333557626,0.0319048615839663,-0.0124947717717962,224.0,180.0,-44.0,339.0,263.0,-76.0,257.5,195.0,-62.5
boundary075_center,42,mechanism_derived_candidate,"{""boundary_ce_weight"": ""0.75"", ""prototype_center_weight"": ""0.02""}","Mechanism-derived candidate from the 33-run ablation: combine the stable boundary dose with prototype compactness only, because proto_center_only was strong while proto_margin_only was weak as a standalone mechanism.",0.9298136645962732,0.9455486542443065,0.0157349896480332,0.7051596275666455,0.7521277250326525,0.0469680974660069,0.0443996333557626,0.0319048615839663,-0.0124947717717962,224.0,180.0,-44.0,339.0,263.0,-76.0,257.5,195.0,-62.5
boundary050_center,42,mechanism_derived_sensitivity,"{""boundary_ce_weight"": ""0.50"", ""prototype_center_weight"": ""0.02""}",Lower boundary-dose sensitivity check for the mechanism-derived boundary plus center model.,0.9298136645962732,0.9432712215320912,0.0134575569358178,0.7051596275666455,0.7389382000168888,0.0337785724502432,0.0443996333557626,0.0370073890402203,-0.0073922443155422,224.0,202.0,-22.0,339.0,274.0,-65.0,257.5,215.0,-42.5
boundary100_center,42,mechanism_derived_sensitivity,"{""boundary_ce_weight"": ""1.0"", ""prototype_center_weight"": ""0.02""}",Higher boundary-dose sensitivity check for boundary plus center; tests whether stronger boundary weighting reintroduces migration or VT/VF trade-offs.,0.9298136645962732,0.9248447204968944,-0.0049689440993788,0.7051596275666455,0.69685207494323,-0.0083075526234155,0.0443996333557626,0.0482679092982788,0.0038682759425161,224.0,239.0,15.0,339.0,363.0,24.0,257.5,290.5,33.0
boundary075_margin,42,mechanism_derived_component,"{""boundary_ce_weight"": ""0.75"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}","Component test for whether the VT/VF prototype margin adds value when paired with boundary weighting, given that proto_margin_only was weak in the 33-run ablation.",0.9298136645962732,0.9356107660455486,0.0057971014492753,0.7051596275666455,0.7181284099359059,0.0129687823692603,0.0443996333557626,0.049414887339432,0.0050152539836694,224.0,216.0,-8.0,339.0,311.0,-28.0,257.5,231.5,-26.0
boundary075_contrastive,42,mechanism_derived_candidate,"{""boundary_ce_weight"": ""0.75"", ""contrastive_boundary_anchor_weight"": ""2.0"", ""contrastive_vtvf_negative_weight"": ""2.0"", ""contrastive_weight"": ""0.02""}",Mechanism-derived candidate from the strong contrastive_vtvf_light result; tests whether boundary weighting combines better with contrastive local-purity control than prototype plus contrastive did.,0.9298136645962732,0.9304347826086956,0.0006211180124223,0.7051596275666455,0.6870185063545681,-0.0181411212120774,0.0443996333557626,0.058286885827718,0.0138872524719554,224.0,261.0,37.0,339.0,336.0,-3.0,257.5,267.0,9.5
